task_id,task_name,nist_sp_id,task_description,work_role,category
772,Task,T0183,"Perform validation steps, comparing actual results with expected results and analyze the differences to identify impact and risks.",General,Task
775,Task,T0184,Plan and conduct security authorization reviews and assurance case development for initial installation of systems and networks.,General,Task
777,Task,T0185,Plan and manage the delivery of knowledge management projects.,General,Task
778A,Task,T0519,"Plan and coordinate the delivery of classroom techniques and formats (e.g., lectures, demonstrations, interactive exercises, multimedia presentations) for most effective learning environment.",General,Task
779A,Task,T0520,"Plan non-classroom educational techniques and formats (e.g., video courses, mentoring, web-based courses).",General,Task
780A,Task,T0521,Plan implementation strategy to ensure enterprise components can be integrated and aligned.,General,Task
781,Task,T0186,"Plan, execute, and verify data redundancy and system recovery procedures.",General,Task
782,Task,T0187,Plan and recommend modifications or adjustments based on exercise results or system environment.,General,Task
784,Task,T0188,"Prepare audit reports that identify technical and procedural findings, and provide recommended remediation strategies/solutions.",General,Task
785,Task,T0189,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",General,Task
786,Task,T0190,"Prepare digital media for imaging by ensuring data integrity (e.g., write blockers in accordance with standard operating procedures).",General,Task
787A,Task,T0522,"Prepare legal and other relevant documents (e.g., depositions, briefs, affidavits, declarations, appeals, pleadings, discovery).",General,Task
788A,Task,T0523,Prepare reports to document the investigation following legal standards and requirements.,General,Task
789,Task,T0191,Prepare use cases to justify the need for specific information technology (IT) solutions.,General,Task
790,Task,T0192,"Prepare, distribute, and maintain plans, instructions, guidance, and standard operating procedures concerning the security of network system(s) operations.",General,Task
792,Task,T0193,Process crime scenes.,General,Task
794A,Task,T0524,Promote knowledge sharing between information owners/users through an organization’s operational processes and systems.,General,Task
795,Task,T0194,"Properly document all systems security implementation, operations and maintenance activities and update as necessary.",General,Task
796,Task,T0195,Provide a managed flow of relevant information (via web-based portals or other means) based on a mission requirements.,General,Task
797,Task,T0196,"Provide advice on project costs, design concepts, or design changes.",General,Task
798,Task,T0197,"Provide an accurate technical evaluation of the software application, system, or network, documenting the security posture, capabilities, and vulnerabilities against relevant cybersecurity compliances.",General,Task
800,Task,T0198,Provide daily summary reports of network events and activity relevant to cyber defense practices.,General,Task
801,Task,T0199,Provide enterprise cybersecurity and supply chain risk management guidance for development of the Continuity of Operations Plans.,General,Task
801A,Task,T0525,Provide enterprise cybersecurity and supply chain risk management guidance.,General,Task
802,Task,T0200,"Provide feedback on network requirements, including network architecture and infrastructure.",General,Task
803,Task,T0201,Provide guidelines for implementing developed systems to customers or installation teams.,General,Task
806,Task,T0202,Provide cybersecurity guidance to leadership.,General,Task
806A,Task,T0526,Provides cybersecurity recommendations to leadership based on significant threats and vulnerabilities.,General,Task
807,Task,T0203,Provide input on security requirements to be included in statements of work and other appropriate procurement documents.,General,Task
808,Task,T0204,Provide input to implementation plans and standard operating procedures.,General,Task
808A,Task,T0527,Provide input to implementation plans and standard operating procedures as they relate to information systems security.,General,Task
808B,Task,T0528,"Provide input to implementation plans, standard operating procedures, maintenance documentation, and maintenance training materials",General,Task
809,Task,T0205,"Provide input to the Risk Management Framework process activities and related documentation (e.g., system life-cycle support plans, concept of operations, operational procedures, and maintenance training materials).",General,Task
810,Task,T0206,"Provide leadership and direction to information technology (IT) personnel by ensuring that cybersecurity awareness, basics, literacy, and training are provided to operations personnel commensurate with their responsibilities.",General,Task
811,Task,T0207,Provide ongoing optimization and problem solving support.,General,Task
812A,Task,T0529,"Provide policy guidance to cyber management, staff, and users.",General,Task
813,Task,T0208,Provide recommendations for possible improvements and upgrades.,General,Task
814,Task,T0209,Provide recommendations on data structures and databases that ensure correct and quality production of reports/management information.,General,Task
815,Task,T0210,Provide recommendations on new database technologies and architectures.,General,Task
816,Task,T0211,Provide system related input on cybersecurity requirements to be included in statements of work and other appropriate procurement documents.,General,Task
817,Task,T0212,Provide technical assistance on digital evidence matters to appropriate personnel.,General,Task
818,Task,T0213,"Provide technical documents, incident reports, findings from computer examinations, summaries, and other situational awareness information to higher headquarters.",General,Task
823,Task,T0214,Receive and analyze network alerts from various sources within the enterprise and determine possible causes of such alerts.,General,Task
824,Task,T0215,"Recognize a possible security violation and take appropriate action to report the incident, as required.",General,Task
825,Task,T0216,Recognize and accurately report forensic artifacts indicative of a particular operating system.,General,Task
826,Task,T0217,"Address security implications in the software acceptance phase including completion criteria, risk acceptance and documentation, common criteria, and methods of independent testing.",General,Task
827,Task,T0218,"Recommend new or revised security, resilience, and dependability measures based on the results of reviews.",General,Task
828,Task,T0219,Recommend resource allocations required to securely operate and maintain an organization’s cybersecurity requirements.,General,Task
830A,Task,T0530,Develop a trend analysis and impact report.,General,Task
834,Task,T0220,"Resolve conflicts in laws, regulations, policies, standards, or procedures.",General,Task
835A,Task,T0531,Troubleshoot hardware/software interface and interoperability problems.,General,Task
836,Task,T0221,"Review authorization and assurance documents to confirm that the level of risk is within acceptable limits for each software application, system, and network.",General,Task
836A,Task,T0221,"Authorizing Official only: Determine if the security and privacy risk from operating a system or using a system, service, or application from an external provider is acceptable.",General,Task
838,Task,T0222,Review existing and proposed policies with stakeholders.,General,Task
839A,Task,T0532,"Review forensic images and other data sources (e.g., volatile data) for recovery of potentially relevant information.",General,Task
840,Task,T0223,Review or conduct audits of information technology (IT) programs and projects.,General,Task
840A,Task,T0533,"Review, conduct, or participate in audits of cyber programs and projects.",General,Task
840B,Task,T0223,Review or conduct audits of programs and projects.,General,Task
841,Task,T0224,"Review training documentation (e.g., Course Content Documents [CCD], lesson plans, student texts, examinations, Schedules of Instruction [SOI], and course descriptions).",General,Task
841A,Task,T0534,"Conduct periodic reviews/revisions of course content for accuracy, completeness alignment, and currency (e.g., course content documents, lesson plans, student texts, examinations, schedules of instruction, and course descriptions).",General,Task
842A,Task,T0535,Recommend revisions to curriculum end course content based on feedback from previous training sessions.,General,Task
843,Task,T0225,Secure the electronic device or information source.,General,Task
845A,Task,T0536,"Serve as an internal consultant and advisor in own area of expertise (e.g., technical, copyright, print media, electronic media).",General,Task
847,Task,T0226,Serve on agency and interagency policy boards.,General,Task
848,Task,T0227,Recommend policy and coordinate review and approval.,General,Task
850,Task,T0228,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",General,Task
852,Task,T0229,Supervise or manage protective or corrective measures when a cybersecurity incident or vulnerability is discovered.,General,Task
854A,Task,T0537,Support the CIO in the formulation of cyber-related policies.,General,Task
855,Task,T0230,Support the design and execution of exercise scenarios.,General,Task
856,Task,T0231,Provide support to security/certification test and evaluation activities.,General,Task
856A,Task,T0538,Provide support to test and evaluation activities.,General,Task
857,Task,T0232,Test and maintain network infrastructure including software and hardware devices.,General,Task
858A,Task,T0539,"Test, evaluate, and verify hardware and/or software to determine compliance with defined specifications and requirements.",General,Task
858B,Task,T0540,Record and manage test data.,General,Task
860A,Task,T0541,Trace system requirements to design components and perform gap analysis.,General,Task
861,Task,T0233,Track and document cyber defense incidents from initial detection through final resolution.,General,Task
862,Task,T0234,Track audit findings and recommendations to ensure appropriate mitigation actions are taken.,General,Task
863,Task,T0235,Translate functional requirements into technical solutions.,General,Task
864A,Task,T0542,Translate proposed capabilities into technical requirements.,General,Task
865,Task,T0236,"Translate security requirements into application design elements including documenting the elements of the software attack surfaces, conducting threat modeling, and defining any specific security criteria.",General,Task
866,Task,T0237,Troubleshoot system hardware and software.,General,Task
868,Task,T0238,"Extract data using data carving techniques (e.g., Forensic Tool Kit [FTK], Foremost).",General,Task
868A,Task,T0543,"Use data carving techniques (e.g., FTK-Foremost) to extract data for further analysis.",General,Task
869,Task,T0239,Use federal and organization-specific published documents to manage operations of their computing environment system(s).,General,Task
870,Task,T0240,Capture and analyze network traffic associated with malicious activities using network monitoring tools.,General,Task
871,Task,T0241,"Use specialized equipment and techniques to catalog, document, extract, collect, package, and preserve digital evidence.",General,Task
874,Task,T0242,Utilize models and simulations to analyze or predict system performance under different operating conditions.,General,Task
876,Task,T0243,Verify and update security documentation reflecting the application/system security design features.,General,Task
877A,Task,T0544,"Verify stability, interoperability, portability, and/or scalability of system architecture.",General,Task
878,Task,T0244,"Verify that application software/network/system security postures are implemented as stated, document deviations, and recommend required actions to correct those deviations.",General,Task
879,Task,T0245,Verify that the software application/network/system accreditation and assurance documentation is current.,General,Task
880A,Task,T0545,Work with stakeholders to resolve computer security incidents and vulnerability compliance.,General,Task
882,Task,T0246,"Write and publish cyber defense techniques, guidance, and reports on incident findings to appropriate constituencies.",General,Task
882A,Task,T0546,"Write and publish cyber defense recommendations, reports, and white papers on incident findings to appropriate constituencies.",General,Task
885,Task,T0247,"Write instructional materials (e.g., standard operating procedures, production manual) to provide detailed guidance to relevant portion of the workforce.",General,Task
919,Task,T0248,Promote awareness of security issues among management and ensure sound security principles are reflected in the organization's vision and goals.,General,Task
925,Task,T0249,Research current technology to understand capabilities of required system or network.,General,Task
927A,Task,T0547,Research and evaluate available technologies and standards to meet customer requirements.,General,Task
934,Task,T0250,Identify cyber capabilities strategies for custom hardware and software development based on mission requirements.,General,Task
936,Task,T0251,"Develop security compliance processes and/or audits for external services (e.g., cloud service providers, data centers).",General,Task
938A,Task,T0548,"Provide advice and input for Disaster Recovery, Contingency, and Continuity of Operations Plans.",General,Task
939,Task,T0252,"Conduct required reviews as appropriate within environment (e.g., Technical Surveillance, Countermeasure Reviews [TSCM], TEMPEST countermeasure reviews).",General,Task
940A,Task,T0549,"Perform technical (evaluation of technology) and non-technical (evaluation of people and operations) risk and vulnerability assessments of relevant technology focus areas (e.g., local computing environment, network and infrastructure, enclave boundary, supporting infrastructure, and applications).",General,Task
940B,Task,T0549,"Perform technical (evaluation of technology) and non-technical (evaluation of people and operations) risk and vulnerability assessments of relevant technology focus areas (e.g., local computing environment, network and infrastructure, control system and operational environments, enclave boundary, supporting infrastructure, and applications).",General,Task
941A,Task,T0550,"Make recommendations regarding the selection of cost-effective security controls to mitigate risk (e.g., protection of information, systems and processes).",General,Task
944,Task,T0253,Conduct cursory binary analysis.,General,Task
947,Task,T0254,Oversee policy standards and implementation strategies to ensure procedures and guidelines comply with cybersecurity policies.,General,Task
948,Task,T0255,"Participate in Risk Governance process to provide security risks, mitigations, and input on other technical risk.",General,Task
949,Task,T0256,Evaluate the effectiveness of procurement function in addressing information security requirements and supply chain risks through procurement activities and recommend improvements.,General,Task
951,Task,T0257,"Determine scope, infrastructure, resources, and data sample size to ensure system requirements are adequately demonstrated.",General,Task
955A,Task,T0551,Draft and publish supply chain security and risk management documents.,General,Task
955B,Task,T0552,Review and approve a supply chain security/risk management policy.,General,Task
956,Task,T0258,"Provide timely detection, identification, and alerting of possible attacks/intrusions, anomalous activities, and misuse activities and distinguish these incidents and events from benign activities.",General,Task
958,Task,T0259,Use cyber defense tools for continual monitoring and analysis of system activity to identify malicious activity.,General,Task
959,Task,T0260,"Analyze identified malicious activity to determine weaknesses exploited, exploitation methods, effects on system and information.",General,Task
960,Task,T0261,"Assist in identifying, prioritizing, and coordinating the protection of critical cyber defense infrastructure and key resources.",General,Task
961,Task,T0262,"Employ approved defense-in-depth principles and practices (e.g., defense-in-multiple places, layered defenses, security robustness).",General,Task
962,Task,T0263,Identify security requirements specific to an information technology (IT) system in all phases of the System Life Cycle.,General,Task
963,Task,T0264,"Ensure plans of actions and milestones or remediation plans are in place for vulnerabilities identified during risk assessments, audits, inspections, etc.",General,Task
964,Task,T0265,Assure successful implementation and functionality of security requirements and appropriate information technology (IT) policies and procedures that are consistent with the organization's mission and goals.,General,Task
969,Task,T0266,Perform penetration testing as required for new or updated applications.,General,Task
970A,Task,T0553,"Apply cybersecurity functions (e.g., encryption, access control, and identity management) to reduce exploitation opportunities.",General,Task
971,Task,T0267,Design countermeasures and mitigations against potential exploitations of programming language weaknesses and vulnerabilities in system and elements.,General,Task
972A,Task,T0554,Determine and document software patches or the extent of releases that would leave software vulnerable.,General,Task
994,Task,T0268,Define and document how the implementation of a new system or new interfaces between systems impacts the security posture of the current environment.,General,Task
994A,Task,T0555,Document how the implementation of a new system or new interface between systems impacts the current and target environment including but not limited to security posture.,General,Task
996A,Task,T0556,Assess and design security management functions as related to cyberspace.,General,Task
996B,Task,T0557,Integrate key management functions as related to cyberspace.,General,Task
997,Task,T0269,Design and develop key management functions (as related to cybersecurity).,General,Task
998,Task,T0270,Analyze user needs and requirements to plan and conduct system security development.,General,Task
998A,Task,T0558,Analyze user needs and requirements to plan and conduct system development.,General,Task
999,Task,T0271,"Develop cybersecurity designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information).",General,Task
999A,Task,T0559,"Develop designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations.",General,Task
999B,Task,T0560,"Collaborate on cybersecurity designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information).",General,Task
999C,Task,T0560,"Collaborate on cybersecurity professionals to implement cybersecurity into designs to meet specific operational needs and environmental factors (e.g., access controls, automated applications, networked operations, high integrity and availability requirements, multilevel security/processing of multiple classification levels, and processing Sensitive Compartmented Information).",General,Task
1000,Task,T0272,Ensure security design and cybersecurity development activities are properly documented (providing a functional description of security implementation) and updated as necessary.,General,Task
1000A,Task,T0406,Ensure design and development activities are properly documented (providing a functional description of implementation) and updated as necessary.,General,Task
1003,Task,T0273,"Develop and document supply chain risks for critical system elements, as appropriate.",General,Task
1006,Task,T0274,Create auditable evidence of security measures.,General,Task
1016,Task,T0275,"Support necessary compliance activities (e.g., ensure system security configuration guidelines are followed, compliance monitoring occurs).",General,Task
1017,Task,T0276,"Participate in the acquisition process as necessary, following appropriate supply chain risk management practices.",General,Task
1017A,Task,T0407,Participate in the acquisition process as necessary.,General,Task
1018,Task,T0277,"Ensure all acquisitions, procurements, and outsourcing efforts address information security requirements consistent with organization goals.",General,Task
1027A,Task,T0408,"Interpret and apply applicable laws, statutes, and regulatory documents and integrate into policy.",General,Task
1030,Task,T0278,"Collect intrusion artifacts (e.g., source code, malware, trojans) and use discovered data to enable mitigation of potential cyber defense incidents within the enterprise.",General,Task
1031,Task,T0279,Serve as technical expert and liaison to law enforcement personnel and explain incident details as required.,General,Task
1032,Task,T0280,Continuously validate the organization against policies/guidelines/procedures/regulations/laws to ensure compliance.,General,Task
1035,Task,T0281,Forecast ongoing service demands and ensure security assumptions are reviewed as necessary.,General,Task
1041,Task,T0282,Define and/or implement policies and procedures to ensure protection of critical infrastructure as appropriate.,General,Task
1076,Task,T0283,Collaborate with stakeholders to identify and/or develop appropriate solutions technology.,General,Task
1077,Task,T0284,Design and develop new tools/technologies as related to cybersecurity.,General,Task
1078A,Task,T0409,"Troubleshoot prototype design and process issues throughout the product design, development, and pre-launch phases.",General,Task
1079A,Task,T0410,Identify functional- and security-related features to find opportunities for new capability development to exploit or mitigate vulnerabilities.,General,Task
1080A,Task,T0411,Identify and/or develop reverse engineering tools to enhance capabilities and detect vulnerabilities.,General,Task
1081,Task,T0285,Perform virus scanning on digital media.,General,Task
1082,Task,T0286,Perform file system forensic analysis.,General,Task
1083,Task,T0287,"Perform static analysis to mount an ""image"" of a drive (without necessarily having the original drive).",General,Task
1084,Task,T0288,Perform static malware analysis.,General,Task
1085,Task,T0289,Utilize deployable forensics tool kit to support operations as necessary.,General,Task
1103,Task,T0290,"Determine tactics, techniques, and procedures (TTPs) for intrusion sets.",General,Task
1104,Task,T0291,Examine network topologies to understand data flows through the network.,General,Task
1105,Task,T0292,Recommend computing environment vulnerability corrections.,General,Task
1107,Task,T0293,"Identify and analyze anomalies in network traffic using metadata (e.g., CENTAUR).",General,Task
1108,Task,T0294,"Conduct research, analysis, and correlation across a wide variety of all source data sets (indications and warnings).",General,Task
1109,Task,T0295,Validate intrusion detection system (IDS) alerts against network traffic using packet analysis tools.,General,Task
1110,Task,T0296,Isolate and remove malware.,General,Task
1111,Task,T0297,Identify applications and operating systems of a network device based on network traffic.,General,Task
1112,Task,T0298,Reconstruct a malicious attack or activity based off network traffic.,General,Task
1113,Task,T0299,Identify network mapping and operating system (OS) fingerprinting activities.,General,Task
1143A,Task,T0412,Conduct import/export reviews for acquiring systems and software.,General,Task
1144,Task,T0300,Develop and document User Experience (UX) requirements including information architecture and user interface requirements.,General,Task
1146,Task,T0301,Develop and Implement cybersecurity independent audit processes for application software/networks/systems and oversee ongoing independent audits to ensure that operational and Research and Design (R&D) processes and procedures are in compliance with organizational and mandatory cybersecurity requirements and accurately followed by Systems Administrators and other cybersecurity staff when performing their day-to-day activities.,General,Task
1147A,Task,T0413,"Develop data management capabilities (e.g., cloud based, centralized cryptographic key management) to include support to the mobile workforce.",General,Task
1148,Task,T0302,"Develop contract language to ensure supply chain, system, network, and operational security are met.",General,Task
1148A,Task,T0414,"Develop supply chain, system, network, performance, and cyber security requirements.",General,Task
1148B,Task,T0415,"Ensure supply chain, system, network, performance, and cyber security requirements are included in contract language and delivered.",General,Task
1149A,Task,T0416,Enable applications with public keying by leveraging existing public key infrastructure (PKI) libraries and incorporating certificate management and encryption functionalities when appropriate.,General,Task
1150A,Task,T0417,"Identify and leverage the enterprise-wide security services while designing and developing secure applications (e.g., Enterprise PKI, Federated Identity server, Enterprise AV solution) when appropriate.",General,Task
1151,Task,T0303,Identify and leverage the enterprise-wide version control system while designing and developing secure applications.,General,Task
1152,Task,T0304,"Implement and integrate system development life cycle (SDLC) methodologies (e.g., IBM Rational Unified Process) into development environment.",General,Task
1152A,Task,T0304,Implement and integrate systems engineering methodologies into development environment.,General,Task
1153A,Task,T0418,"Install, update, and troubleshoot systems/servers.",General,Task
1154,Task,T0305,"Perform configuration management, problem management, capacity management, and financial management for databases and data management systems.",General,Task
1155,Task,T0306,"Support incident management, service level management, change management, release management, continuity management, and availability management for databases and data management systems.",General,Task
2001,Task,T0561,Accurately characterize targets.,General,Task
2005,Task,T0562,Adjust collection operations or collection plan to address identified issues/challenges and to synchronize collections with overall operational requirements.,General,Task
2009,Task,T0563,"Provide input to the analysis, design, development or acquisition of capabilities used for meeting objectives.",General,Task
2014,Task,T0307,"Analyze candidate architectures, allocate security services, and select security mechanisms.",General,Task
2015,Task,T0564,Analyze feedback to determine extent to which collection products and services are meeting requirements.,General,Task
2016,Task,T0308,Analyze incident data for emerging trends.,General,Task
2017,Task,T0565,Analyze incoming collection requests.,General,Task
2020,Task,T0566,"Analyze internal operational architecture, tools, and procedures for ways to improve performance.",General,Task
2020A,Task,T0567,Analyze target operational architecture for ways to gain access.,General,Task
2021,Task,T0568,"Analyze plans, directives, guidance and policy for factors that would influence collection management's operational structure and requirement s (e.g., duration, scope, communication requirements, interagency/international agreements).",General,Task
2028,Task,T0569,Answer requests for information.,General,Task
2029A,Task,T0570,Apply and utilize authorized cyber capabilities to enable access to targeted networks.,General,Task
2032,Task,T0571,"Apply expertise in policy and processes to facilitate the development, negotiation, and internal staffing of plans and/or memorandums of agreement.",General,Task
2033,Task,T0572,"Apply cyber collection, environment preparation and engagement expertise to enable new exploitation and/or continued collection operations, or in support of customer requirements.",General,Task
2035,Task,T0573,Assess and apply operational environment factors and risks to collection management process.,General,Task
2040,Task,T0574,"Apply and obey applicable statutes, laws, regulations and policies.",General,Task
2043,Task,T0575,Coordinate for intelligence support to operational planning activities.,General,Task
2045,Task,T0576,Assess all-source intelligence and recommend targets to support cyber operation objectives.,General,Task
2046,Task,T0577,Assess efficiency of existing information exchange and management systems.,General,Task
2051,Task,T0578,Assess performance of collection assets against prescribed specifications.,General,Task
2052,Task,T0579,Assess target vulnerabilities and/or operational capabilities to determine course of action.,General,Task
2053,Task,T0580,"Assess the effectiveness of collections in satisfying priority information gaps, using available capabilities and methods, and then adjust collection strategies and collection requirements accordingly.",General,Task
2054,Task,T0309,Assess the effectiveness of security controls.,General,Task
2058,Task,T0581,Assist and advise inter-agency partners in identifying and developing best practices for facilitating operational support to achievement of organization objectives.,General,Task
2059,Task,T0582,Provide expertise to course of action development.,General,Task
2060,Task,T0583,Provide subject matter expertise to the development of a common operational picture.,General,Task
2060A,Task,T0584,Maintain a common intelligence picture.,General,Task
2061,Task,T0585,Provide subject matter expertise to the development of cyber operations specific indicators.,General,Task
2062,Task,T0310,Assist in the construction of signatures which can be implemented on cyber defense network tools in response to new or observed threats within the NE or enclave.,General,Task
2063,Task,T0586,"Assist in the coordination, validation, and management of all-source collection requirements, plans, and/or activities.",General,Task
2064,Task,T0587,Assist in the development and refinement of priority information requirements.,General,Task
2066,Task,T0588,Provide expertise to the development of measures of effectiveness and measures of performance.,General,Task
2068,Task,T0589,Assist in the identification of intelligence collection shortfalls.,General,Task
2070,Task,T0590,Enable synchronization of intelligence support plans across partner organizations as required.,General,Task
2072,Task,T0591,Perform analysis for target infrastructure exploitation activities.,General,Task
2073,Task,T0592,Provide input to the identification of cyber-related success criteria.,General,Task
2075,Task,T0593,Brief threat and/or target current situations.,General,Task
2076,Task,T0594,Build and maintain electronic target folders.,General,Task
2081,Task,T0595,Classify documents in accordance with classification guidelines.,General,Task
2082,Task,T0596,Close requests for information once satisfied.,General,Task
2087,Task,T0597,Collaborate with intelligence analysts/targeting organizations involved in related areas.,General,Task
2088,Task,T0598,Collaborate with development organizations to create and deploy the tools needed to achieve objectives.,General,Task
2089,Task,T0599,"Collaborate with other customer, Intelligence and targeting organizations involved in related cyber areas.",General,Task
2090,Task,T0600,Collaborate with other internal and external partner organizations on target access and operational issues.,General,Task
2091,Task,T0601,"Collaborate with other team members or partner organizations to develop a diverse program of information materials (e.g., web pages, briefings, print materials).",General,Task
2093,Task,T0602,Collaborate with customer to define information requirements.,General,Task
2095,Task,T0603,"Communicate new developments, breakthroughs, challenges and lessons learned to leadership, and internal and external customers.",General,Task
2096A,Task,T0604,Compare allocated and available assets to collection demand as expressed through requirements.,General,Task
2098,Task,T0605,Compile lessons learned from collection management activity's execution of organization collection objectives.,General,Task
2099,Task,T0606,"Compile, integrate, and/or interpret all-source data for intelligence or vulnerability value with respect to specific targets.",General,Task
2101,Task,T0607,Identify and conduct analysis of target communications to identify information essential to support operations.,General,Task
2102,Task,T0608,"Conduct analysis of physical and logical digital technologies (e.g., wireless, SCADA, telecom) to identify potential avenues of access.",General,Task
2105,Task,T0609,Conduct access enabling of wireless computer and digital networks.,General,Task
2106,Task,T0610,Conduct collection and processing of wireless computer and digital networks.,General,Task
2108,Task,T0611,Conduct end-of-operations assessments.,General,Task
2109,Task,T0612,Conduct exploitation of wireless computer and digital networks.,General,Task
2111,Task,T0613,Conduct formal and informal coordination of collection requirements in accordance with established guidelines and procedures.,General,Task
2114,Task,T0614,"Conduct independent in-depth target and technical analysis including target-specific information (e.g., cultural, organizational, political) that results in access.",General,Task
2115,Task,T0615,Conduct in-depth research and analysis.,General,Task
2119,Task,T0616,Conduct network scouting and vulnerability analyses of systems within a network.,General,Task
2121,Task,T0617,Conduct nodal analysis.,General,Task
2122,Task,T0618,Conduct on-net activities to control and exfiltrate data from deployed technologies.,General,Task
2123,Task,T0619,"Conduct on-net and off-net activities to control, and exfiltrate data from deployed, automated technologies.",General,Task
2124,Task,T0620,Conduct open source data collection via various online tools.,General,Task
2127,Task,T0621,Conduct quality control in order to determine validity and relevance of information gathered about networks.,General,Task
2130,Task,T0622,"Develop, review and implement all levels of planning guidance in support of cyber operations.",General,Task
2133,Task,T0623,Conduct survey of computer and digital networks.,General,Task
2134,Task,T0624,Conduct target research and analysis.,General,Task
2147,Task,T0625,Consider efficiency and effectiveness of collection assets and resources if/when applied against priority information requirements.,General,Task
2153,Task,T0626,Construct collection plans and matrixes using established guidance and procedures.,General,Task
2156,Task,T0311,Consult with customers about software system design and maintenance.,General,Task
2159,Task,T0627,Contribute to crisis action planning for cyber operations.,General,Task
2160,Task,T0628,Contribute to the development of the organization's decision support tools if necessary.,General,Task
2162,Task,T0629,"Contribute to the development, staffing, and coordination of cyber operations policies, performance standards, plans and approval packages with appropriate internal and/or external decision makers.",General,Task
2163,Task,T0630,Incorporate intelligence equities into the overall design of cyber operations plans.,General,Task
2165,Task,T0631,Coordinate resource allocation of collection assets against prioritized collection requirements with collection discipline leads.,General,Task
2167,Task,T0632,Coordinate inclusion of collection plan in appropriate documentation.,General,Task
2170,Task,T0633,Coordinate target vetting with appropriate partners.,General,Task
2172,Task,T0634,Re-task or re-direct collection assets and resources.,General,Task
2179,Task,T0312,Coordinate with intelligence analysts to correlate threat assessment data.,General,Task
2180,Task,T0635,Coordinate with intelligence and cyber defense partners to obtain relevant essential information.,General,Task
2181,Task,T0636,Coordinate with intelligence planners to ensure collection managers receive information requirements.,General,Task
2185,Task,T0637,Coordinate with the intelligence planning team to assess capability to satisfy assigned intelligence tasks.,General,Task
2186,Task,T0638,"Coordinate, produce and track intelligence requirements.",General,Task
2187,Task,T0639,"Coordinate, synchronize and draft applicable intelligence sections of cyber operations plans.",General,Task
2192,Task,T0640,Use intelligence estimates to counter potential target actions.,General,Task
2194,Task,T0641,Create comprehensive exploitation strategies that identify exploitable technical or operational vulnerabilities.,General,Task
2195,Task,T0642,"Maintain awareness of internal and external cyber organization structures, strengths, and employments of staffing and technology.",General,Task
2205,Task,T0643,"Deploy tools to a target and utilize them once deployed (e.g., backdoors, sniffers).",General,Task
2214,Task,T0313,Design and document quality standards.,General,Task
2226,Task,T0644,Detect exploits against targeted networks and hosts and react accordingly.,General,Task
2232,Task,T0645,"Determine course of action for addressing changes to objectives, guidance, and operational environment.",General,Task
2233,Task,T0646,"Determine existing collection management webpage databases, libraries and storehouses.",General,Task
2235,Task,T0647,"Determine how identified factors affect the tasking, collection, processing, exploitation and dissemination architecture's form and function.",General,Task
2237,Task,T0648,"Determine indicators (e.g., measures of effectiveness) that are best suited to specific cyber operation objectives.",General,Task
2239,Task,T0649,Determine organizations and/or echelons with collection authority over all accessible collection assets.,General,Task
2243,Task,T0650,Determine what technologies are used by a given target.,General,Task
2245,Task,T0651,Develop a method for comparing collection reports to outstanding requirements to identify information gaps.,General,Task
2248,Task,T0314,"Develop a system security context, a preliminary system security CONOPS, and define baseline system security requirements in accordance with applicable cybersecurity requirements.",General,Task
2249,Task,T0652,Develop all-source intelligence targeting materials.,General,Task
2251,Task,T0653,Apply analytic techniques to gain more target information.,General,Task
2253,Task,T0315,Develop and deliver technical training to educate others or meet customer needs.,General,Task
2265,Task,T0654,Develop and maintain deliberate and/or crisis plans.,General,Task
2266,Task,T0655,Develop and review specific cyber operations guidance for integration into broader planning activities.,General,Task
2267,Task,T0656,Develop and review intelligence guidance for integration into supporting cyber operations planning and execution.,General,Task
2271,Task,T0657,Develop coordinating instructions by collection discipline for each phase of an operation.,General,Task
2272,Task,T0658,Develop cyber operations plans and guidance to ensure that execution and resource allocation decisions align with organization objectives.,General,Task
2276,Task,T0659,Develop detailed intelligence support to cyber operations requirements.,General,Task
2288,Task,T0660,Develop information requirements necessary for answering priority information requests.,General,Task
2289,Task,T0661,Develop measures of effectiveness and measures of performance.,General,Task
2290,Task,T0662,"Allocate collection assets based on leadership's guidance, priorities, and/or operational emphasis.",General,Task
2292,Task,T0663,Develop munitions effectiveness assessment or operational assessment materials.,General,Task
2294,Task,T0664,Develop new techniques for gaining and keeping access to target systems.,General,Task
2295,Task,T0316,Develop or assist in the development of computer based training modules or classes.,General,Task
2296,Task,T0317,Develop or assist in the development of course assignments.,General,Task
2299,Task,T0318,Develop or assist in the development of course evaluations.,General,Task
2300,Task,T0319,Develop or assist in the development of grading and proficiency standards.,General,Task
2301,Task,T0320,"Assist in the development of individual/collective development, training, and/or remediation plans.",General,Task
2303,Task,T0321,Develop or assist in the development of learning objectives and goals.,General,Task
2304,Task,T0322,Develop or assist in the development of on-the-job training materials or programs.,General,Task
